	address	name	title	График работы	Опыт работы	Сфера деятельности
1700	"м. Маяковская,  
 Большой Козихинский переулок, 27с1"	ohrannik_793505828	Охранник			
1701	Москва, м. Первомайская, Первомайская улица	malyar_1163882046	Маляр			
1702	Москва, м. Улица 1905 года, улица Красная Пресня, 28	gruzchik_vahta_s_prozhivaniem_1710881858	Грузчик (Вахта с проживанием)	вахтовый метод	не имеет значения	Транспорт, логистика
1703	"м. Печатники,  
 Южнопортовая 35"	snabzhenets_1148971859	Снабженец	полный день	не имеет значения	Транспорт, логистика
1704	"м. Домодедовская г. Москва, м. Домодедовская, Ореховый бульвар, д. 15, ТЦ ""Галерея Водолей"""	prodavets-konsultant_m.domodedovskaya_tts_vodoley_952183544	Продавец-консультант м.Домодедовская ТЦ Водолей	полный день	более 1 года	Продажи
1705	метро , Таганско-Краснопресненская линия, Москва, м. Китай-город, Китай-город	gruzchik-komplektovschik_925138420	Грузчик-комплектовщик			
1706	Москва, м. Перово, 2-я Владимирская улица 62а с9	kassir_na_4_chasa_v_den_s_8.00_do_12.00_pn-pt_1594400308	Кассир на 4 часа в день (с 8.00 до 12.00) Пн-Пт			
1707	Москва, м. Нижегородская, Нижегородская улица, 65	voditel_taksi_1606329567	Водитель такси	сменный график	более 1 года	Транспорт, логистика
1708	Москва, м. Орехово, Бирюлёвская улица, 38	voditel_elektropogruzchika_-gruzchik_1285567254	Водитель электропогрузчика -грузчик	сменный график	более 1 года	Транспорт, логистика
1709	Москва, м. Выхино, метро Выхино	trebuetsya_brigada_stroiteley-universalov_1309148413	Требуется бригада строителей-универсалов	вахтовый метод	более 1 года	Строительство
1710	"м. Водный стадион,  
 Кронштадтский б-р 35 Г"	administrator_sekrktar_953569134	Администратор секрктарь			
1711	Москва, м. Алма-Атинская, Южный административный округ, район Братеево	otdelochniki_1246145600	Отделочники			
1712	Москва, м. Дмитровская, 1-я Хуторская улица, 8	povar_1122937124	Повар			
1713	Москва, м. Бауманская, Нижняя Красносельская улица, 35с9	administrator_v_salon_krasoty_1494794090	Администратор в салон красоты	полный день	более 1 года	Фитнес, салоны красоты
1714	Москва, м. Рязанский проспект, улица Фёдора Полетаева, 7	vahtovyy_ohrannik_941850991	Вахтовый охранник			
1715	Москва, м. Электрозаводская, Большой Матросский переулок	kliner_1195769346	Клинер	полный день	не имеет значения	Домашний персонал
1716		voditel_1304351892	Водитель	свободный график	не имеет значения	Транспорт, логистика
1717	Москва, м. Университет, метро Университет	voditel_po_dostavke_pitstsy_m._universitet_521143231	Водитель по доставке пиццы (м. Университет)	сменный график	не имеет значения	Туризм, рестораны
1718	Москва, м. Медведково, Чермянский проезд, 7	povar_holodnogo_tseha_1624651680	Повар холодного цеха			
1719	Замоскворецкая линия, Москва, м. Речной вокзал, метро Речной вокзал	prodavets-kassir_1655566946	Продавец-кассир	свободный график	не имеет значения	Продажи
1720		menedzher_po_prodazham_v_salon_m._voykovskaya_877727610	Менеджер по продажам в салон, м. Войковская	полный день	не имеет значения	Продажи
1721	Москва, м. Улица академика Янгеля, Россошанский проезд, 3	prodavets_v_salon_sotovoy_svyazi_1458638615	Продавец в салон сотовой связи	полный день	не имеет значения	Продажи
1722	Москва, м. Хорошевская, Хорошёвское шоссе, 25к1	trebuetsya_uborschik_pomescheniy_v_ofis_1512476156	Требуется уборщик помещений в офис			
1723	Москва, м. Белорусская, 3-я улица Ямского Поля, 18	prodavets-konsultant_1322925670	Продавец-консультант	полный день	более 1 года	Продажи
1724	"м. Площадь революции,  
 Москва"	zemlekopy_raznorabochie_brigady_1421549130	Землекопы, разнорабочие бригады			
1725	Москва, м. Беляево, Миклухо-Маклая улица	voditel_dostavki_m.belyaevo_yasenevoteplyy_stan_973595583	Водитель доставки, м.Беляево, Ясенево,Теплый Стан	свободный график	не имеет значения	Туризм, рестораны
1726	Москва, м. Беляево, улица Академика Опарина, 5	starshiy_master_avtostekolnogo_tseha_1360644144	Старший мастер автостекольного цеха			
1727	"м. Авиамоторная,  
 авиамоторная"	raznorabochie_na_vahtu_v_moskve_s_pitaniem_637505089	Разнорабочие на вахту в Москве с питанием	полный день	не имеет значения	Без опыта, студенты
1728	Москва, м. Сходненская, Сходненская улица, 35к1	prodavets_konsultant_1320591332	Продавец консультант			
1729	Москва, м. Нагатинская, 1 нагатинский проезд 2 с17	mashinist_ekskavatora_pogruzchika_1709889135	Машинист Экскаватора погрузчика	вахтовый метод	более 3 лет	Строительство
1730	Москва, м. Красносельская, метро Красносельская	povar_-_kassir_rabotnik_restorana_1635535923	Повар - кассир / Работник ресторана	сменный график	не имеет значения	Туризм, рестораны
1731	"м. Белорусская,  
 ул. 1-я Брестская 62"	ofitsiant_643626448	Официант			
1732	Москва, м. Марьино, 1-я Курьяновская улица, 22с2	administrator_v_saunu_1046829210	Администратор в сауну			
1733	"м. Марьино,  
 Иловайская 2Б."	svarschik_na_poluavtomate_1110474081	Сварщик на полуавтомате	неполный день	более 1 года	Производство, сырьё, с/х
1735	"м. Площадь революции,  
 Москва"	trebuetsya_rabochie_1177497985	Требуется рабочие			
1736		buhgalter_po_uchetu_zatrat_1168562828	Бухгалтер по учету затрат	полный день	более 3 лет	Бухгалтерия, финансы
1737	"м. Сокол,  
 ул. Усиевича, д.22, стр.2"	voditel_po_dostavke_pitstsy_m._sokol_603669505	Водитель по доставке пиццы (м. Сокол)	сменный график	не имеет значения	Туризм, рестораны
1738	"м. Тургеневская,  
 ул. Мясницкая 24"	uborschitsa_k_posudomoyschitsa_k_794442540	Уборщица (к) / посудомойщица (к)	сменный график	не имеет значения	Туризм, рестораны
1739	"м. Выхино,  
 Посёлок Малаховка , Егорьевское шоссе д1."	master_po_proizvodstvu_mebeli_1175442168	Мастер по производству мебели			
1740	"м. Пятницкое шоссе,  
 в шаговой доступности от метро"	prodavets-kassir_tabachnoy_produktsii_1425547880	Продавец-кассир (табачной продукции )			
1741	Москва, м. Медведково, улица Малыгина, 9с2	administratorzam.direktora_magazina_medvedkovo_945538805	Администратор/Зам.директора магазина (Медведково)	сменный график	более 1 года	Продажи
1742	Москва, м. Варшавская, метро Варшавская	koordinator_otdela_prodazh_g._moskva_1518469458	Координатор отдела продаж (г. Москва)	полный день	не имеет значения	Продажи
1743		rabotnik_torgovogo_zala_892013260	Работник торгового зала	полный день	не имеет значения	Продажи
1744	Москва, м. Крылатское, Рублёвское шоссе, 48/1	ofitsiant_769414256	Официант	сменный график	не имеет значения	Туризм, рестораны
1745		motarist_slesar_1150116266	Мотарист слесарь			
1746		prodavets-kassirm.yuzhnaya_1036391371	Продавец-кассир(м.Южная)	сменный график	не имеет значения	Продажи
1747	Москва, м. Крылатское, Осенний бульвар	posudomoyschik_1109993921	Посудомойщик			
1748	"м. Марксистская,  
 Марксистская, 20 стр. 6"	sotrudnik_restorana_vahta_bez_opyta_raboty_1221051662	Сотрудник Ресторана (Вахта, без опыта работы)	сменный график	не имеет значения	Без опыта, студенты
1749	Москва, м. Менделеевская,  метро Белорусская, Лесная улица	podrabotka_kurerom_s_ezhednevnoy_oplatoy_1241353351	Подработка курьером с ежедневной оплатой	свободный график	не имеет значения	Без опыта, студенты
1750	Калужско-Рижская линия, Москва, м. Теплый стан, метро Тёплый Стан	gruzchik_ezhednevnye_vyplaty_1389209111	Грузчик (ежедневные выплаты)			
1751	Москва, м. Фонвизинская, улица Милашенкова, 4	povar_goryachego_tseha_1630763008	Повар горячего цеха	сменный график	не имеет значения	Туризм, рестораны
1752	Москва, м. Тверская, Малый Гнездниковский переулок, дом 12	vahta_gruzchik-raznorabochiy_s_prozhivaniem_1104220664	Вахта грузчик-разнорабочий с проживанием	вахтовый метод	не имеет значения	Без опыта, студенты
1753	Москва, м. Коломенская, проспект Андропова, 25Вс1	kassir-operatsionist_m.kolomenskoe_1502963201	Кассир-операционист м.Коломенское	сменный график	не имеет значения	Продажи
1754	Москва, м. Перово, Перовская улица	avtomalyarpodgotovschik_1527408086	Автомаляр,подготовщик	полный день	более 1 года	Транспорт, логистика
1755		prodavets-kassirm._belorusskaya_1205953896	Продавец-кассир(м. Белорусская)	сменный график	более 1 года	Продажи
1756	Москва, м. Комсомольская, Комсомольская площадь, 3/30с4	vahta_s_pitaniem_i_prozhivaniem_sortirovschiki_r_1265539872	Вахта с питанием и проживанием, Сортировщики р	вахтовый метод	не имеет значения	Без опыта, студенты
1757		gornichnaya_280838100	Горничная	полный день	не имеет значения	Туризм, рестораны
1758	"м. Крымская,  
 Севастопольский проспект 11Бс1"	kassir_na_avtomoyku_797780710	Кассир на автомойку	сменный график	более 1 года	Автомобильный бизнес
1759	"м. Академическая,  
 Дм.Ульянова, 42 стр.1"	shveya_1115819973	Швея	удалённая работа	более 1 года	Производство, сырьё, с/х
1760		sborschik_tovara_po_nakladnoy_na_sklade_produktov_1198039422	Сборщик товара по накладной на складе продуктов	полный день	не имеет значения	Производство, сырьё, с/х
1761	"м. Южная,  
 ул. Чертановская, д.12, стр.1"	ofitsiant-_kassir_m._chertanovskaya_1021730874	Официант- кассир (м. Чертановская)	сменный график	не имеет значения	Туризм, рестораны
1762	Москва, м. Улица 1905 года, Краснопресненская набережная	kassir_1633143509	Кассир	полный день	не имеет значения	Туризм, рестораны
1763	Москва, м. Новогиреево, Зелёный проспект	prodavets_konsultant_moskva_921655589	Продавец консультант (Москва)	сменный график	не имеет значения	Продажи
1764	Москва, м. Водный стадион, Ленинградское шоссе, 58с1	plitochniki_1047156909	Плиточники			
1765	г Москва, м. Новогиреево ул. Зелёный проспект д. 79А	administrator_salona_krasoty_1077693358	Администратор салона красоты			
1766		ohrannik_gruppa_bystrogo_reagirovaniya_1121882524	Охранник (группа быстрого реагирования)	вахтовый метод	более 1 года	Охрана, безопасность
1767	"м. Юго-Западная,  
 МО, Одинцовский р-н, Заречье, ул.Торговая, д.4с1"	povar_goryachego_tseha_1169218304	Повар горячего цеха	сменный график	более 1 года	Туризм, рестораны
1768	Москва, м. Шелепиха, метро Шелепиха	voditel_1624788518	Водитель			
1769	"м. Братиславская,  
 ул. Перерва 43 к. 1"	master_po_remontu_odezhdy_1146783913	Мастер по ремонту одежды			
1770	Москва, м. Алексеевская, проспект Мира	promyshlennye_alpinisty_1001793965	Промышленные альпинисты			
1771	"м. Нижегородская,  
 Рязанский пр-кт 8а"	kamenschikishtukaturyplitochniki_828917191	Каменщики,Штукатуры,Плиточники			
1772	Москва, м. Улица 1905 года, улица Красная Пресня, 28	upakovschik_vahta_s_prozhivaniem_1315719531	Упаковщик (вахта с проживанием)	вахтовый метод	не имеет значения	Без опыта, студенты
1773	Москва, м. Кунцевская, метро Кунцевская	ohrannik_926196197	Охранник	сменный график	более 1 года	Охрана, безопасность
1774	Москва, м. Лубянка, Малый Златоустинский переулок, 10с2	upravlyayuschiy_otdeleniem_fermoy_selskohozyaystvenn_1721065672	Управляющий отделением (фермой, сельскохозяйственн			
1775	Москва, м. Бульвар Рокоссовского, Открытое шоссе	konditer_bez_opyta_na_pechene_1378826975	Кондитер без опыта (на печенье)	полный день	не имеет значения	Производство, сырьё, с/х
1776	Северо-Восточный административный округ, Москва, м. Алтуфьево, район Лианозово	prodavets-kassir_m._altufevo_1596383872	Продавец-кассир (м. Алтуфьево)	сменный график	не имеет значения	Продажи
1777	Москва, м. Комсомольская, Комсомольская площадь, 3	povar_zagatovschik_1594098909	Повар Загатовщик	сменный график	более 1 года	Туризм, рестораны
1778	"м. Семеновская,  
 Ул. Ибрагимова, д.12"	kontent-menedzher_administrator_saytov_1523429715	Контент-менеджер, администратор сайтов	полный день	не имеет значения	IT, интернет, телеком
1780	Москва, м. Коптево, Северный административный округ, район Коптево	mashinist_ekskavatora-pogruzchika_1484415402	Машинист экскаватора-погрузчика			
1781	"м. Варшавская,  
 Варшавское шоссе, 87Б"	prodavets-konsultant_tts_varshavskiy_910986234	Продавец-консультант (ТЦ Варшавский)	полный день	не имеет значения	Продажи
1782		mobilnyy_kassir_604748	Мобильный кассир	сменный график	не имеет значения	Продажи
1783	Арбатско-Покровская линия, Москва, м. Молодежная, метро Молодёжная	pomoschnik_povara_metro_molodezhnaya_1320670278	Помощник повара (метро Молодежная)			
1784	Москва, м. Строгино, Строгинский бульвар, 1	prodavets_v_magazin_v_tts_1145631013	Продавец в магазин в ТЦ			
1785		komplektovschik_804443351	Комплектовщик	полный день	не имеет значения	Продажи
1786		operator_na_domashnem_telefone_1124297337	Оператор на домашнем телефоне	удалённая работа	не имеет значения	Продажи
1787		spetsialict_sklada_v_hoff_zhulebino_768832194	Специалиcт склада в Hoff Жулебино	полный день	не имеет значения	Без опыта, студенты
1788		brigada_shtukaturov_1203476797	Бригада Штукатуров			
1789	"м. Отрадное,  
 Алтуфьевское шоссе, дом 38, корп.1 (ст. метро Бибирево, Отрадное)"	kassir_987182282	Кассир	полный день	не имеет значения	Продажи
1790	Москва, м. Юго-Западная, метро Юго-Западная	kassir_1493136119	Кассир	сменный график	не имеет значения	Продажи
1791	Москва, м. Серпуховская, метро Серпуховская	raskleyschik_obyavleniy_v_lyubom_rayone_990370418	Расклейщик объявлений В любом районе	свободный график	не имеет значения	Без опыта, студенты
1792	г. Москва, м. Печатники ул Шоссейная д 1/2 стр 4	master_manikyura-pedikyura_1118454879	Мастер маникюра-педикюра			
1793	Москва, м. Динамо, Ленинградский проспект, 27	priglashaem_mastera_manikyura_1691581788	Приглашаем мастера маникюра	полный день	не имеет значения	Фитнес, салоны красоты
1794	Москва, м. Калужская, улица Обручева, 27к1	kassir_1666388473	Кассир	сменный график	не имеет значения	Продажи
1795	"м. Сретенский бульвар,  
 ул Большая Лубянка дом 24"	gruzchik_848470623	Грузчик			
1796	"м. Каширская,  
 Каширское шоссе 19 корп.1"	master_universalplitochnik_otdelochnik_1146289924	Мастер универсал,плиточник, отделочник	полный день	более 1 года	Строительство
1798	Москва, м. Павелецкая, Валовая улица, 8с1	podrabotka_uborka_1162086498	Подработка уборка	свободный график	не имеет значения	Без опыта, студенты
1799	"м. Курская,  
 Земляной Вал 24/32"	master_po_naraschivaniyu_resnits_1209532675	Мастер по наращиванию ресниц	сменный график	более 1 года	Фитнес, салоны красоты
1800	Москва, м. Щукинская, Авиационная улица, 72к3	konserzh_1247728092	Консьерж			
1801	Москва, м. Чкаловская, улица Земляной Вал, 50Ас3	uborschitsak_1562437781	Уборщица/к	неполный день	не имеет значения	Туризм, рестораны
1802	Москва, м. Октябрьская, Калужская площадь, 1к1	kurer_1619393159	Курьер	свободный график	не имеет значения	Транспорт, логистика
1803	Москва, м. Баррикадная, метро Баррикадная	prodavets_650017998	Продавец	свободный график	не имеет значения	Без опыта, студенты
1804	Москва, м. Аэропорт, метро Аэропорт	yuvelir_987641591	Ювелир			
1805	"м. Дубровка,  
 москва,ул. симоновский вал 26, к.2"	priglashaem_parikmahera-universala_1017625326	Приглашаем парикмахера-универсала			
1806	"м. Хорошево,  
 ул Зорге 7А"	master-priemschik_avtomoykashinomontazh_845378011	Мастер-приемщик Автомойка/Шиномонтаж	сменный график	более 1 года	Автомобильный бизнес
1807	Москва, м. Марксистская, метро Таганская	prodavets-kassir_1534932394	Продавец-кассир	полный день	более 1 года	Продажи
1808	Москва, м. Аэропорт, 4-я улица 8 Марта, 4к1	promouter_1665259897	Промоутер			
1809	"м. Текстильщики,  
 Артюхиной 6Б"	tehnikmontazhnik_slabotochnyh_sistem_917573679	Техник/монтажник слаботочных систем			
1810	Москва, м. Крестьянская застава, улица Талалихина, 2/1к4	voditel_taksi_1255429797	Водитель такси	полный день	не имеет значения	Автомобильный бизнес
1811	Москва, м. Алтуфьево, метро Алтуфьево	merchendayzer_na_podrabotku_g.moskva_m.altufevo_1612322200	Мерчендайзер на подработку г.Москва (м.Алтуфьево)	свободный график	не имеет значения	Продажи
1812	Москва, м. Ховрино, улица Дыбенко	avtomoyschik_1637644757	Автомойщик	полный день	не имеет значения	Автомобильный бизнес
1813	Москва, м. Нагорная, Электролитный проезд, 10	trebuet_gruzchik_na_sklad_1602888351	Требует Грузчик на склад			
1814	Москва, м. Бульвар Рокоссовского, улица Николая Химушина, 2/7с1	mashinist_mostovogo_krana_1425374557	Машинист мостового крана			
1815	"м. Октябрьская,  
 Зубовский б-р, д.21, корп.23, стр.2"	master_po_remontu_bytovoy_tehniki_na_vyezde_1066931997	Мастер по Ремонту Бытовой Техники на Выезде	неполный день	более 1 года	ЖКХ, эксплуатация
1816	Москва, м. Лубянка, Большой Златоустинский переулок, 7с1	ohrannik_v_zhk_1682848210	Охранник в ЖК	вахтовый метод	не имеет значения	Охрана, безопасность
1817	"м. Угрешская,  
 Волгоградский проспект, дом 36 стр 2"	mashinist_na_ekskavator-pogruzchik_jcb_3cx_1219091222	Машинист на экскаватор-погрузчик JCB 3CX			
1818	Москва, м. Румянцево, поселение Московский, Киевское шоссе, 22-й километр	administrator_na_resepshn_so_znaniem_angl._yazyka_827727809	Администратор на ресепшн со знанием англ. языка	сменный график	не имеет значения	Административная работа
1819	"м. Измайлово,  
 Окружной проезд д.16"	avtomoyschik_1060473164	Автомойщик	полный день	более 1 года	Автомобильный бизнес
1820	Москва, м. Петровско-Разумовская, Северный административный округ, Тимирязевский район	voditel_na_avtomobil_kompanii_1158046632	Водитель на автомобиль компании	свободный график	не имеет значения	Транспорт, логистика
1821		voditel_gruzovogo_avtomobilya_857403496	Водитель грузового автомобиля	сменный график	не имеет значения	Транспорт, логистика
1822	Москва, м. Пражская, Кировоградская улица, 13А	rabotnik_zala_v_set_detskih_magazinov_1588139655	Работник зала в сеть детских магазинов	свободный график	не имеет значения	Без опыта, студенты
1823	Москва, м. Юго-Западная, метро Юго-Западная	povar_po_prigotovleniyu_pitstsy_m._yugo-zapadnaya_377774188	Повар по приготовлению пиццы (м. Юго-Западная)	сменный график	не имеет значения	Туризм, рестораны
1824	"м. Охотный ряд,  
 Москва"	ohrannik_994744683	Охранник	вахтовый метод	более 1 года	Охрана, безопасность
1825	Москва, м. Чистые пруды, Чистопрудный бульвар, 12с1	vahtafasovschiki_produktov_bystrogo_prigotovleniya_1430287488	Вахта/фасовщики продуктов быстрого приготовления	вахтовый метод	не имеет значения	Без опыта, студенты
1826	Москва, м. Цветной бульвар, Большой Каретный переулок, 8с2	administrator_v_studiyu_krasoty_629929498	Администратор в студию красоты	сменный график	более 1 года	Фитнес, салоны красоты
1827	Москва, м. Курская, Курский вокзал	prodavets-kassir_vahta_1201987627	Продавец-кассир вахта	вахтовый метод	не имеет значения	Туризм, рестораны
1829	"м. Электрозаводская,  
 Золотая 11"	porolonschik_987798353	Поролонщик			
1830	Москва, м. Павелецкая, Павелецкий вокзал	komplektovschiktsa_na_sklad_kosmetiki_prozhivanie_1288699602	Комплектовщик/ца на склад косметики (проживание )	вахтовый метод	не имеет значения	Без опыта, студенты
1831	Москва, м. Улица Старокачаловская, улица Грина, 40	pomoshnik_ekspeditora_1434250700	Помошник экспедитора			
1832	Москва, м. Проспект Мира, метро Проспект Мира	sidelka_1712049638	Сиделка			
1833	Москва, м. Бульвар Рокоссовского, Пермская улица, 5с1	kladovschik_na_proizvodstvo_1237012037	Кладовщик на производство	сменный график	более 1 года	Производство, сырьё, с/х
1834	Москва, м. Раменки, Очаковское шоссе, 22А	dvornik_1608880228	Дворник	полный день	не имеет значения	Без опыта, студенты
1835	Москва, м. Курская, метро Курская	gruzchik_na_sklad_sotovyh_telefonovvahta_v_moskve_1517981338	Грузчик на склад сотовых телефонов(Вахта в Москве)	вахтовый метод	не имеет значения	Без опыта, студенты
1836	Москва, м. Площадь Гагарина, 5-й Донской проезд, 15с3	trebuyutsya_ohranniktsy_643978955	Требуются охранник(цы)			
1837	"м. Площадь революции,  
 Москва"	trebuetsya_voditel_kategorii_se_1424017288	Требуется водитель категории се	вахтовый метод	более 1 года	Транспорт, логистика
1839	Арбатско-Покровская линия, Москва, м. Молодежная, метро Молодёжная	avtomalyar_1087953017	Автомаляр			
1840	Москва, м. Красносельская, метро Красносельская	fasovschiktsa_vahta_s_ezhenedelnymi_vyplatami_1506197075	Фасовщик(ца) вахта с еженедельными выплатами	вахтовый метод	не имеет значения	Транспорт, логистика
1841	"м. Площадь революции,  
 Москва"	uborschitsa_k_1330928738	Уборщица (к)	сменный график	не имеет значения	Без опыта, студенты
1842	Москва, м. Улица Горчакова, метро Улица Горчакова	sotrudniki_ohrany_835810270	Сотрудники охраны			
1844	Москва, м. Тушинская, метро Тушинская	rabota_voditel_voditel_v_taksi_905714090	Работа водитель, водитель в такси	сменный график	не имеет значения	Автомобильный бизнес
1845	Москва, м. Бибирево, Алтуфьевское шоссе	shveya_1298433278	Швея			
1846	Москва, м. Борисово, улица Мусы Джалиля, 8к5	shveya_myagkoy_mebeli_1020859264	Швея мягкой мебели			
1847	Арбатско-Покровская линия, Москва, м. Пятницкое шоссе, метро Пятницкое шоссе	voditel_v_aeroport_kategoriya_vs_1300704292	Водитель в аэропорт, категория В+С	полный день	более 1 года	Транспорт, логистика
1848	Москва, м. Дубровка, метро Дубровка	ohrannik_1233070599	Охранник			
1849	Москва, м. Молодежная, улица Горбунова, 12	kassir-administrator_1644217509	Кассир-администратор	полный день	не имеет значения	Бухгалтерия, финансы
1850	г. Москва, м. Чкаловская, пер. Костомаровский, 3с12 (5 мин. от м. Курская, Чкаловская)	voditel_taksi_arenda_1497712435	Водитель Такси Аренда	свободный график	не имеет значения	Автомобильный бизнес
1851	"м. Медведково,  
 Малыгина улица, д.2к2"	inzhener-smetchik_1225761291	Инженер-сметчик	полный день	более 1 года	Строительство
1852	Москва, м. Коломенская, проспект Андропова, 15	voditel-mehanik_po_avtomobilyam_1638203202	Водитель-механик по автомобилям			
1853	"м. Марьина Роща,  
 Шереметьевская д 6 стр 1"	prodavets-konsultant_v_magazin_detskoy_obuvi_963867129	Продавец-консультант в магазин детской обуви			
1854	Москва, м. Улица академика Янгеля, Варшавское шоссе, 152	sotrudnik_fotoatele_1091298855	Сотрудник фотоателье			
1855	Москва, м. Бабушкинская, улица Коминтерна, 7к2	agent_po_nedvizhimosti_1695662325	Агент по недвижимости	полный день	не имеет значения	Продажи
1856	Москва, м. Тушинская, Северо-Западный административный округ, район Покровское-Стрешнево	prodavets_na_yuvelirnyy_ostrov_v_tts_1648748969	Продавец на ювелирный остров в ТЦ	сменный график	не имеет значения	Продажи
1857	Москва, м. Коньково, Профсоюзная улица, 126к2	kassir_1288655247	Кассир	полный день	не имеет значения	Без опыта, студенты
1858	Москва, м. Озёрная, проезд Стройкомбината, вл1	shtukatur_na_chekanku_shvov_1036145188	Штукатур на чеканку швов	полный день	более 1 года	Строительство
1859	Москва, м. Селигерская, Коровинское шоссе, 1А	operator_sklada_magazina_zhenskoy_odezhdy_1116386898	Оператор склада магазина женской одежды			
1860	Москва, м. Чертановская, Варшавское шоссе, 114к1	voditel_se_1562872583	Водитель С/Е	вахтовый метод	более 1 года	Транспорт, логистика
1861	Москва, м. Красногвардейская, Ореховый бульвар, 28	svarschik_gazo_elektrosvarschik_1163162172	Сварщик Газо электросварщик			
1862	Москва, м. Бульвар Дмитрия Донского, бульвар Дмитрия Донского	votidel_na_taksi_gbo_1133558322	Вотидель на такси гбо	свободный график	не имеет значения	Транспорт, логистика
1863	"м. Бауманская,  
 Аптекарьский переулок дом 1"	ohrannik_52_dnevnoy_1460743806	Охранник 5/2 дневной			
1864	"м. Планерная,  
 улица Планерная дом 7"	administrator_magazina_tts_planernaya_1545554990	"Администратор магазина (ТЦ ""Планерная"")"	сменный график	более 1 года	Продажи
1865		podrabotka_model_dlya_okrashivaniya_volos_1017316133	Подработка Модель для окрашивания волос	свободный график	не имеет значения	Без опыта, студенты
1866	"м. Новые Черемушки,  
 Наметкина, 13б"	promouter-rasprostranitel_moskva_1330840946	Промоутер-распространитель (Москва)	неполный день	не имеет значения	Без опыта, студенты
1867	Москва, м. Курская, метро Курская	povar_hinkali_i_hachapuri_1298288970	Повар хинкали и хачапури	полный день	более 1 года	Туризм, рестораны
1868		kurer_peshiy_775319061	Курьер пеший	полный день	не имеет значения	Туризм, рестораны
1869	"м. Домодедовская,  
 г Домодедово Каширское шоссе 4 с1"	raznorabochiy_na_proizvodstvo_1500248852	Разнорабочий на производство			
1871	Москва, м. Римская, Рабочая улица, 93с1	voditel_taksi_1531308553	Водитель такси	сменный график	не имеет значения	Автомобильный бизнес
1872	"м. Дмитровская,  
 ул. Складочная, д.3, стр. 7"	voditel-ekspeditor_na_gazel_kompanii_1089364238	Водитель-экспедитор на газель компании	полный день	более 1 года	Транспорт, логистика
1873	Москва, м. Каховская, Симферопольский бульвар, 13кБ	parikmahervarshavskoe_349271079	Парикмахер(Варшавское )			
1874	Москва, м. Водный стадион, Головинское шоссе	promouter_1260785442	Промоутер			
1875		master_otdelochnik_po_remontu_kvartir_834639826	Мастер отделочник по ремонту квартир	полный день	более 1 года	Строительство
1876	Москва, м. Теплый стан, Новоясеневский проспект, 1А	kassir-prodavets_m._teplyy_stan_1040010085	Кассир-продавец (м. Теплый стан)	сменный график	не имеет значения	Продажи
1877	Москва, м. Охотный ряд, метро Охотный Ряд	pomoschnik_povara_vahta_1508602621	Помощник повара вахта	вахтовый метод	не имеет значения	Туризм, рестораны
1878	Москва, м. Павелецкая, метро Павелецкая	upakovschik_na_sklad_oplata_kazhdyy_den_1401316945	Упаковщик на склад, оплата каждый день	полный день	не имеет значения	Производство, сырьё, с/х
1879	Москва, м. Домодедовская, Каширское шоссе, 61к2	povar_1648598483	Повар	полный день	не имеет значения	Туризм, рестораны
1880	Москва, м. Калужская, улица Академика Челомея, 3к2	povar_1485044711	Повар	полный день	более 1 года	Продажи
1881	Москва, м. Панфиловская, улица Маршала Рыбалко, 2к4	elektromontazhnik_1148994210	Электромонтажник			
1882	"м. Славянский бульвар,  
 Можайское шоссе 65А"	trebuetsya_master_manikyura_master_nogtevogo_servis_1129115793	Требуется мастер маникюра/ мастер ногтевого сервис	сменный график	не имеет значения	Фитнес, салоны красоты
1883	Москва, м. Новогиреево, Рассветная аллея, 5А	voditel-_dostavki_r-n_novogireevo_1548102675	Водитель- доставки р-н Новогиреево	сменный график	не имеет значения	Транспорт, логистика
1884	Москва, м. Фили, Кутузовский проезд, 16с5	avtoslesar-mehanik_826785624	Автослесарь-механик			
1885	Москва, м. Войковская, метро Войковская	prodavets-kassir_1285148896	Продавец-кассир	сменный график	не имеет значения	Продажи
1886	"м. Севастопольская,  
 улица Азовская 24 к3, ТЦ Азовский"	prodavets_-_kassir_m._kahovskaya_663213053	Продавец - кассир (м. Каховская)	полный день	более 1 года	Продажи
1887	Москва, м. Панфиловская, Северо-Западный административный округ, район Щукино	elektrik_kvartirnyy_remont_1637694471	Электрик (Квартирный ремонт)	полный день	более 1 года	Строительство
1888		raskleyschik_obyavleniy_903862887	Расклейщик объявлений			
1890	Москва, м. Нижегородская, Смирновская улица 25	svarschik_1400294395	Сварщик	полный день	более 1 года	Строительство
1891	"м. Сокольники,  
 Сокольническая площадь 9А"	muzhskoy_parikmaher_barber_1381320151	Мужской парикмахер / Барбер	полный день	более 3 лет	Фитнес, салоны красоты
1892	Москва, м. Профсоюзная, улица Кржижановского	ohrannik_v_karaoke_klub_1122522609	Охранник в караоке клуб	сменный график	более 1 года	Охрана, безопасность
1893	Москва, м. Шелепиха, 2-я магистаральная	kladovschik_1523085301	Кладовщик	полный день	более 1 года	Транспорт, логистика
1894	Москва, м. Красные ворота, улица Чаплыгина, 3с2	voditel._rabota_s_ezhednevnoy_vyplatoy_1505941720	Водитель. Работа с ежедневной выплатой	полный день	не имеет значения	Автомобильный бизнес
1895	"м. Воробьевы Горы,  
 Косыгина, 15"	ofitsiant_v_nochnoy_klub_1181309274	Официант (в ночной клуб)			
